mean_intensity,std_intensity,var_intensity,mean_abs_dev_intensity,median_intensity,median_abs_dev_intensity,coef_var_intensity,skewness_intensity,kurtosis_intensity,maximum_intensity,minimum_intensity,mode_intensity,central_moment_intensity,range_intensity,inter_quart_range_intensity,entropy_intensity,sp_idx,image_idx,class
3.7928994082840237,3.2438141490949657,10.522330233868697,2.6551591330835755,3.0,2.0,0.8526993412275916,0.6752891580718255,-0.5141113218942257,12,0,0,0.0,12,5.0,2.345358800019751,1,71,0
0.17575757575757575,0.6043694068171603,0.36526237989652627,0.3152984389348026,0.0,0.0,3.4282175232100878,4.0594064365957765,17.357660721921842,4,0,0,0.0,4,0.0,0.44409734554277364,2,71,0
4.781609195402299,2.470287186301449,6.102318782805129,2.003567181926278,5.0,2.0,0.5151358738867724,-0.2209374285517764,-0.5445552479719131,10,0,4,0.0,10,4.0,2.2081612041900613,3,71,0
3.408284023668639,2.6376716851894932,6.957311918850381,2.260004901789153,3.0,3.0,0.7716071566326136,0.18734028971892844,-1.16140364061414,9,0,0,0.0,9,5.0,2.1290998036166777,4,71,0
1.2804878048780488,1.9614342457660574,3.8472243004638624,1.5972635336109462,0.0,0.0,1.5271095219608486,1.429312468474469,0.9920878673063855,8,0,0,0.0,8,2.0,1.4146425158120934,5,71,0
10.125874125874127,3.5262938547774647,12.43474835024131,2.847082986943127,10.0,2.0,0.34702609188953354,0.0771890504600211,-0.48075199542005764,19,3,11,0.0,16,4.5,2.607801431601452,6,71,0
1.0285714285714285,1.824643337277364,3.3293233082706766,1.36734693877551,0.0,0.0,1.7697300484662752,1.8382518879771927,2.4469369968621875,8,0,0,0.0,8,1.0,1.2612741348145766,7,71,0
1.449438202247191,2.033678229275039,4.135847140227258,1.6970079535412195,0.0,0.0,1.3991335407973304,1.2453645374262,0.38196883286501215,7,0,0,0.0,7,3.0,1.5106385591497693,8,71,0
0.09154929577464789,0.3554026699905053,0.12631105783638003,0.17020432453878204,0.0,0.0,3.8683972186708178,4.122115587227596,16.95461753974183,2,0,0,0.0,2,0.0,0.2977491583703278,9,71,0
1.2357142857142858,3.5917786104999307,12.900873586844813,2.061224489795918,0.0,0.0,2.8962421833224767,3.378582792658492,11.278741891526881,20,0,0,0.0,20,0.0,0.9001948945857204,10,71,0
10.441340782122905,3.5790699926696874,12.809742012428597,2.816453918417028,11.0,2.0,0.3418199504200574,-0.34177432132166574,0.21206022151606652,19,0,11,0.0,19,5.0,2.647167406006307,11,71,0
6.288043478260869,2.925050740442785,8.555921834164884,2.3687381852551983,7.0,2.0,0.4639108196423305,-0.3184304468186203,-0.46072481975575696,13,0,8,0.0,13,3.25,2.4323220431329897,12,71,0
0.44370860927152317,1.3447962006163066,1.8084768211920534,0.7522477084338405,0.0,0.0,3.0207568843180015,3.643374888819019,13.49683827044392,8,0,0,0.0,8,0.0,0.6964288566131982,13,71,0
0.6273291925465838,1.623344833116171,2.6352484472049693,1.036456926816095,0.0,0.0,2.5796592220279684,2.804669026932484,7.2174088279013375,8,0,0,0.0,8,0.0,0.8047883714916962,14,71,0
2.5297619047619047,2.1302654953539832,4.538031080695752,1.675453514739229,2.0,1.0,0.8395714840420732,0.868271410238413,0.4534059125482557,9,0,0,0.0,9,3.0,1.9822872410455434,15,71,0
3.8850574712643677,3.2253522005336426,10.40289681748721,2.3881622407187213,3.0,2.0,0.8278051524363667,1.146663768597774,1.1880631859732151,14,0,4,0.0,14,3.0,2.320169460343183,16,71,0
9.86986301369863,5.6948418265463,32.4312234293812,4.933571026458997,10.0,5.0,0.5750135969967014,-0.08793223299064928,-1.2644240315916757,20,1,1,0.0,19,10.0,2.91463123939397,17,71,0
1.0758620689655172,1.7680920296430718,3.126149425287357,1.421260404280618,0.0,0.0,1.6377421076119907,1.465592075580933,0.8457186984107934,7,0,0,0.0,7,2.0,1.2362822842024763,18,71,0
1.8578947368421053,1.8816338137286066,3.5405458089668604,1.4669806094182827,1.0,1.0,1.010108687014607,1.2476647044631393,1.2747551484720399,8,0,1,0.0,8,3.0,1.8017941816330945,19,71,0
3.0689655172413794,2.654663704895086,7.047239386087305,2.2778438367023384,3.0,3.0,0.8625135584520719,0.33456474735877306,-1.1148957297865383,9,0,0,0.0,9,5.0,2.0583157684926343,20,71,0
0.7486631016042781,1.3701643527807854,1.8773503536311886,1.024907775458263,0.0,0.0,1.825248096080338,2.1193181735478883,4.245819899949244,6,0,0,0.0,6,1.0,1.0876158637920013,21,71,0
2.993939393939394,3.2694016937857144,10.6889874353289,2.841946740128558,2.0,2.0,1.0886924985308104,0.6795548203655623,-0.94596228307232,10,0,0,0.0,10,5.0,2.0181319587153954,22,71,0
0.425414364640884,1.238823577078611,1.534683855125845,0.7145081041482252,0.0,0.0,2.9039843863633634,3.511917561996718,12.549330617599988,7,0,0,0.0,7,0.0,0.706179287834974,23,71,0
3.0517241379310347,3.5453580191785816,12.569563484153877,2.8585017835909636,2.0,2.0,1.1584125461952155,1.1772049274404621,0.6532334217743907,14,0,0,0.0,14,5.0,2.1481657050801903,24,71,0
4.4405940594059405,3.2658241847253002,10.665607605536671,2.7748750122537005,4.0,3.0,0.7336249133483895,0.24457798273436482,-0.9760493979511424,12,0,0,0.0,12,5.0,2.407523756996071,25,71,0
0.3695652173913043,1.1403424185226423,1.300380831482069,0.6266540642722117,0.0,0.0,3.0744322719315758,3.9844363724340144,17.175891131402395,7,0,0,0.0,7,0.0,0.632493898553169,26,71,0
